# wavelength_um,flux_ratio
3.568507e-01,5.634922e-10
3.572077e-01,5.627497e-10
3.575651e-01,5.620175e-10
3.579228e-01,5.612350e-10
3.582809e-01,5.603963e-10
3.586394e-01,5.595404e-10
3.589982e-01,5.586845e-10
3.593574e-01,5.578482e-10
3.597169e-01,5.570375e-10
3.600768e-01,5.562534e-10
3.604371e-01,5.555058e-10
3.607977e-01,5.548221e-10
3.611587e-01,5.542929e-10
3.615200e-01,5.539812e-10
3.618817e-01,5.538150e-10
3.622438e-01,5.536849e-10
3.626062e-01,5.536721e-10
3.629690e-01,5.535701e-10
3.633321e-01,5.532379e-10
3.636957e-01,5.527997e-10
3.640595e-01,5.522821e-10
3.644238e-01,5.517403e-10
3.647884e-01,5.511863e-10
3.651534e-01,5.506065e-10
3.655187e-01,5.500158e-10
3.658844e-01,5.494183e-10
3.662505e-01,5.488086e-10
3.666169e-01,5.481876e-10
3.669837e-01,5.475644e-10
3.673509e-01,5.469412e-10
3.677184e-01,5.463147e-10
3.680863e-01,5.456876e-10
3.684546e-01,5.450592e-10
3.688232e-01,5.444463e-10
3.691922e-01,5.438574e-10
3.695616e-01,5.432737e-10
3.699313e-01,5.426951e-10
3.703015e-01,5.421280e-10
3.706719e-01,5.415663e-10
3.710428e-01,5.410098e-10
3.714140e-01,5.404427e-10
3.717856e-01,5.398598e-10
3.721576e-01,5.392849e-10
3.725299e-01,5.387270e-10
3.729027e-01,5.381741e-10
3.732757e-01,5.376213e-10
3.736492e-01,5.370687e-10
3.740230e-01,5.365142e-10
3.743973e-01,5.359507e-10
3.747718e-01,5.353681e-10
3.751468e-01,5.347772e-10
3.755221e-01,5.342014e-10
3.758978e-01,5.336302e-10
3.762739e-01,5.330331e-10
3.766504e-01,5.324058e-10
3.770272e-01,5.317421e-10
3.774044e-01,5.310122e-10
3.777820e-01,5.302503e-10
3.781600e-01,5.294698e-10
3.785384e-01,5.286730e-10
3.789171e-01,5.278864e-10
3.792962e-01,5.271252e-10
3.796757e-01,5.263823e-10
3.800555e-01,5.256884e-10
3.804358e-01,5.250923e-10
3.808164e-01,5.245849e-10
3.811974e-01,5.241320e-10
3.815788e-01,5.237332e-10
3.819606e-01,5.233832e-10
3.823427e-01,5.230374e-10
3.827253e-01,5.226492e-10
3.831082e-01,5.222089e-10
3.834915e-01,5.217369e-10
3.838752e-01,5.212533e-10
3.842592e-01,5.207738e-10
3.846437e-01,5.202850e-10
3.850285e-01,5.197839e-10
3.854137e-01,5.192752e-10
3.857994e-01,5.187547e-10
3.861853e-01,5.182344e-10
3.865717e-01,5.177141e-10
3.869585e-01,5.171819e-10
3.873456e-01,5.166482e-10
3.877332e-01,5.161157e-10
3.881211e-01,5.155838e-10
3.885094e-01,5.150472e-10
3.888981e-01,5.145107e-10
3.892872e-01,5.139895e-10
3.896767e-01,5.134672e-10
3.900666e-01,5.129294e-10
3.904568e-01,5.124059e-10
3.908475e-01,5.118748e-10
3.912385e-01,5.113705e-10
3.916300e-01,5.108572e-10
3.920218e-01,5.103471e-10
3.924140e-01,5.098700e-10
3.928066e-01,5.094081e-10
3.931996e-01,5.089497e-10
3.935930e-01,5.084855e-10
3.939868e-01,5.080074e-10
3.943810e-01,5.075345e-10
3.947756e-01,5.070852e-10
3.951705e-01,5.066473e-10
3.955659e-01,5.061996e-10
3.959617e-01,5.057296e-10
3.963578e-01,5.051986e-10
3.967544e-01,5.047609e-10
3.971513e-01,5.040785e-10
3.975487e-01,5.033927e-10
3.979464e-01,5.034486e-10
3.983446e-01,5.030286e-10
3.987431e-01,5.025556e-10
3.991421e-01,5.020723e-10
3.995414e-01,5.016519e-10
3.999412e-01,5.012076e-10
4.003413e-01,5.007159e-10
4.007418e-01,5.001729e-10
4.011428e-01,4.997298e-10
4.015441e-01,4.992705e-10
4.019459e-01,4.987598e-10
4.023480e-01,4.982652e-10
4.027506e-01,4.977490e-10
4.031535e-01,4.972554e-10
4.035569e-01,4.967718e-10
4.039606e-01,4.962766e-10
4.043648e-01,4.957745e-10
4.047694e-01,4.952856e-10
4.051743e-01,4.947911e-10
4.055797e-01,4.942991e-10
4.059855e-01,4.938038e-10
4.063917e-01,4.933041e-10
4.067983e-01,4.928132e-10
4.072053e-01,4.923266e-10
4.076127e-01,4.918404e-10
4.080205e-01,4.913489e-10
4.084287e-01,4.908156e-10
4.088374e-01,4.902706e-10
4.092464e-01,4.897209e-10
4.096559e-01,4.891196e-10
4.100657e-01,4.883982e-10
4.104760e-01,4.878095e-10
4.108867e-01,4.872616e-10
4.112978e-01,4.867147e-10
4.117093e-01,4.861686e-10
4.121212e-01,4.856221e-10
4.125335e-01,4.850724e-10
4.129462e-01,4.845267e-10
4.133594e-01,4.839660e-10
4.137730e-01,4.834394e-10
4.141869e-01,4.828954e-10
4.146013e-01,4.823503e-10
4.150161e-01,4.818125e-10
4.154314e-01,4.812226e-10
4.158470e-01,4.807170e-10
4.162631e-01,4.802293e-10
4.166795e-01,4.797228e-10
4.170964e-01,4.794173e-10
4.175137e-01,4.790490e-10
4.179315e-01,4.786517e-10
4.183496e-01,4.782692e-10
4.187682e-01,4.778651e-10
4.191871e-01,4.774646e-10
4.196065e-01,4.770701e-10
4.200263e-01,4.766937e-10
4.204466e-01,4.763024e-10
4.208672e-01,4.759155e-10
4.212883e-01,4.755160e-10
4.217098e-01,4.751425e-10
4.221317e-01,4.747575e-10
4.225541e-01,4.743730e-10
4.229768e-01,4.739906e-10
